words,character
He said he was being transferred to Earth colony two research station. ,KIRK
Mister Scott is still with us. ,KIRK
Make course for Starbase Twelve. ,KIRK
"Sho'nuf. Hey, Jim boy, y'all ever have a real cold Georgia-style mint julep, huh? ",MCCOY
The delta rays?,MCCOY
There's another way to survive. Mutual trust and help. ,KIRK
The Romulans will view this as a military intrusion and attack. Bring the ship about now. If you bring her about  [Bridge],KIRK
"Captain, I accept on your word that I did it, but I do not know why, nor do I remember doing it. Captain, lock me away. I do not wish to be seen. I cannot. No Vulcan could explain further. ",SPOCK
All perfectly normal. Whatever happened to Compton down there apparently had no effect on anyone else. ,MCCOY
"We're waiting for you to fulfil your commitment, Commissioner. ",KIRK
Phasers. ,KIRK
"Yes, Commissioner, all of them. ",KIRK
We found a cure. We're over that part of it. ,MCCOY
You must get us in there. ,KIRK
"How is he, Doctor? ",SPOCK
And no doubt they've been in flight on this asteroid ship for ten thousand years. ,SPOCK
My mission is to establish diplomatic relations between your people and mine. ,KIRK
If the energy stays at that level. ,SPOCK
"It seems to have some sort of anatomy. Arex, where are we on that chart? ",KIRK
"No, Jim. No indication of any kind. ",MCCOY
Anything at all? ,KIRK
The result is suffocation. ,KIRK
"What term? Logic? Medical men are trained in logic, Mister Spock. ",MCCOY
Precisely. Have you studied the incident involving the USS Farragut? ,SPOCK
"Whatever it is, it has a mighty high melting point. ",MCCOY
"It's impossible to say. They drifted through space until they finally landed here. You see, they actually thrive on Berthold rays.",SPOCK
"From that ship. She took it. I don't know why, or where, but she must have taken it. Bones, how long can you keep him functioning? ",KIRK
One. A naturally occurring drug called strobolin. But it's only found on a few planets in the galaxy. ,MCCOY
Keep checking. ,KIRK
You won't have long to wait. ,KIRK
Who are the inhabitants of this planet? ,KIRK
Wife? ,MCCOY
"Doctor, I shall be resigning my commission immediately, of course. ",SPOCK
What has that got  AMANDA: You're going to use it on yourself. A transfusion from you to your father. ,MCCOY
"We're locked onto the Exeter's engineering section, Captain. ",SPOCK
Thank God. ,MCCOY
Perhaps the shock of knowing what happened to her staff is part of her problem. ,KIRK
Finished. ,MCCOY
Let us take you with us to a place of safety. ,KIRK
Also operative at a low power level. The entire Bridge is damaged and uninhabitable. The rest of the ship seems able to sustain life. ,SPOCK
Saurian brandy. ,KIRK
Probably that nectar. It's potent as Saurian brandy. ,MCCOY
"It won't die. By golly, Jim, I'm beginning to think I can cure a rainy day. ",MCCOY
Energise! ,KIRK
"No. No, if I'd be useful, as long as you're going down, I might as well take a medical look at whatever this is. ",MCCOY
"Lock phasers on target. Mister Bailey, lock phasers. ",KIRK
"There's some resemblance. I don't know how much we can depend on it. But I'll tell you one thing. We have to get out of this area. Those mists out there are acting something like a macromorphase enzyme. If the shields don't stay up, the hull will be corroded and we'll all be broken down into nice digestible particles. ",MCCOY
A reasonable course. ,SPOCK
Fuel consumption report? ,KIRK
Scotty. (picks up the twisted and melted weapon) Very impressive.,KIRK
"Then, what happened? ",KIRK
"Bones, you've got one of those magnesite-nitron tablets in your kit. Give me one. ",KIRK
What the blazes is going on? ,KIRK
What do you mean just there? ,KIRK
Possible. Very possible. ,SPOCK
"Required reading at the academy, Mister Spock. I've always wanted to meet him. Do you think there's any chance of him still being alive? ",KIRK
There's something under the skin. (a red light goes out) He's dead. ,MCCOY
How fast? ,KIRK
"But they weren't rivals in love. Jim, you shouldn't go in there.",MCCOY
Let's take a look inside. ,KIRK
"If it's fighting that you want, (slaps Trelane) you may have it. ",KIRK
As if someone knew what it was that terrifies man most on an instinctive level. ,SPOCK
All things die. ,KIRK
"Contact check, Captain. It has been over an hour since your last communication. ",SPOCK
"Thank you, Captain. ",SPOCK
"Uhura, order the Columbus to open its course two degrees on every lap from now on. ",KIRK
"Lieutenant Uhura. This may be crucial. In the presence of the Kzinti, do not say anything, do not do anything startling. Try to look harmless. ",SPOCK
Bones? ,KIRK
Thank you. ,MCCOY
"Which would tend to support the proposition that the murderer was not human. Deriving sustenance from emotion is not unknown in the galaxy, and fear is among the strongest and most violent of the emotions. ",SPOCK
"And a way to shed some light on the gloom, Mister Spock. ",KIRK
"Affirmative, Captain. Enterprise out. ",SPOCK
"You're behind the times, Bones. They're more like resort colonies now.",KIRK
What will Mitchell learn in getting there? Will he know what to do with his power? Will he acquire the wisdom? ,KIRK
And mutual override did not work? ,KIRK
"Report on magnetic storm, Mister Spock. ",KIRK
Perhaps not. There is the null setting. It seems to do nothing.,SPOCK
Should we separate? ,SPOCK
"Captain, I believe (notices, and wakes him gently) Captain.",SPOCK
"Well, a girl with your ability should be able to handle two cases at once. ",KIRK
"Well, since this Oxmyx asked us down here, don't you think we should see him? ",MCCOY
"Oh, thank you, we must return to the ship. ",KIRK
I'm going to give you a shot. High-potency vitamin concentrate.,MCCOY
Chief Surgeon Leonard McCoy. ,KIRK
It cannot. It is not logical. ,SPOCK
Earth-style distress signal. SOS. ,KIRK
"Poking and prying! If I want anything from you, I'll ask for it! ",SPOCK
(opening the door) I don't think Starfleet would approve. Come on. ,KIRK
Didn't Doctor Lester's staff become delirious before they went off and died? ,KIRK
"Well, they may not have done all of these things. You just pointed out how illogical this situation is. ",KIRK
You do not even know what the action is going to be. ,SPOCK
Are you willing to spend the rest of your life with the Medusans in order to avoid human emotion? ,KIRK
Vulcan honours us with your presence. We come to serve. ,SPOCK
Captain! ,SPOCK
He doesn't understand what life is. He's a boy. ,KIRK
Even the ship's chronometers have stopped. ,MCCOY
You'll be trapped inside that corridor with him forever. At each other's throats throughout time. ,KIRK
Difficult. ,KIRK
"Recommendations, Mister Chekov. ",KIRK
"Correct. Population approximately three billion and seven hundred twenty four million, if memory serves me correctly. Estimated time of impact three hundred ninety six days. ",SPOCK
Ninety seven point eight three five. Will it be powerful enough to destroy that thing out there? ,KIRK
"I don't know, but he does. And now he wants revenge for a non-existent loss. ",KIRK
"Dead. But it had you, too. ",KIRK
"Put us alongside, Mister Sulu. ",KIRK
"No, no. We're working hard. We'll find an antidote. ",MCCOY
Captain. May I ask a question? You needn't answer if it seems too personal. ,SPOCK
"Yes, of course. The man who kills on sight. Morgan Earp. ",KIRK
"Easy, Mister Scott. ",SPOCK
Only a few months. We found them totally uninterested in medical aid or hospitals. They believe only the strong should survive. ,MCCOY
"It is not life as we know or understand it. Yet t is obviously alive, it exists. ",SPOCK
Bones? ,KIRK
"You're making this a rather one-sided conversation, Major. ",KIRK
"Jim, we've got to get Miss Hedford to the Enterprise. Her condition. ",MCCOY
"It never would have reached the museum, Lieutenant. There was too much power in that one setting. If not the Kzinti, the Klingons or some other species would have tried to possess it. ",SPOCK
"Well, gentlemen, we all have to take a chance. Especially if one is all you have. Assume your stations. ",KIRK
"Don't tell me that again, Science Officer! It's a theory. It's possible. We may go up into the biggest ball of fire since the last sun in these parts exploded, but we've got to take that one in ten thousand chance!",KIRK
I do wish he could forget her. ,MCCOY
"She's dead. Her metabolism caused her to age more rapidly than the rest of us, but the same thing's going to happen to us unless  KIRK: How long have we got, Bones? ",MCCOY
The very same. ,KIRK
I could've sworn I heard you say that. Kirk here.,KIRK
"I believe everybody is aware of that, Mister Chekov. ",KIRK
No. I'll take the first shot. ,KIRK
"Our pleasure, Chief. Kirk out. ",KIRK
Dunsel? Who the blazes is Captain Dunsel? (everyone else knows),MCCOY
"No, but I've seen the book that contains all the knowledge of the creators. And if you  (He gets a warning pain, but fights through it.) ",MCCOY
We only wanted to stop the fighting to save us all. ,KIRK
The power source. Shielded by solid rock.,KIRK
"If we are to recover the Captain, we must not move. ",SPOCK
"Mister Fox, they faked a message from the Captain, they've launched an attack against our ship. Now you want us to trust them openly? ",MCCOY
What else do they know about us? ,KIRK
I want to thank you for saving his life. (Nona's hand is healed too) I would like to learn more about this. ,MCCOY
Thank you. ,KIRK
"Lock onto it, Mister Kelso.",KIRK
Go! Gather laurel leaves? You must be joking! ,KIRK
Where can he go? ,SPOCK
Are you prepared with witnesses? One will do. ,KIRK
How is it the scanners didn't pick it up before? ,KIRK
It's not animal tissue. What is it? ,KIRK
"Doctor McCoy, take tricorder readings and see if it is human.",KIRK
"Thank you, Lucien. Next witness, please. Captain James T Kirk. ",SPOCK
"In the hope that it will yank us out of the zone. Prepare yourselves. All right, Scotty. Let's get on with it. ",KIRK
Yes. Certainly. ,KIRK
"We've attached some bypass and leader circuits to compensate for the difference. Tied directly into the impulse engines, there shouldn't be more than a five point variation in the velocity balance. I suggest we send the animal through.",SPOCK
"Spock, I'm asking you. What's wrong? ",KIRK
"You may be right, Bones. Maybe I shouldn't have gone in. She was blind, really blind. Really in the dark.",KIRK
Instruments register only those things they're designed to register. Space still contains infinite unknowns.,SPOCK
This woman will assist me. (to Chapel) You will take me to your pharmacology laboratory. ,SPOCK
Never mind about me. Protect my ship! ,KIRK
"Unusual, Captain. I'm now getting a sizable space-displacement reading. ",SPOCK
Most of them will be killed. The warrior races of the Federation will rise up to battle the Skorr. ,SPOCK
"Captain, I am constrained to point out that since minds are evidently being influenced, we cannot know at this moment whether our own memories are completely accurate and true. ",SPOCK
We're also very strong. ,KIRK
Reverse? But that was a forward lurch. How could that happen in reverse thrust? ,KIRK
"Jim, that means you're condemning this whole planet to a war that may never end. It could go on for year after year, massacre after massacre. ",MCCOY
"Yes, I hope so. ",KIRK
Read out. ,KIRK
"Helm does not answer, Captain. ",SPOCK
We get them out. ,MCCOY
"Secure from general quarters. And beam down two, and only two, security guards. Have them report to Mister Lurry.",KIRK
I want him there whether he can walk or not.,KIRK
"Spock here, Captain. ",SPOCK
"Mister Sulu, ahead warp factor two. ",KIRK
"Why, thank you, Captain McCoy. ",SPOCK
"We have a what, Captain? ",SPOCK
"Er, Spock. ",KIRK
I believe in honest relationships myself.,KIRK
Yes. It might help me pinpoint our location. ,KIRK
This is Captain Kirk. Acknowledge. ,KIRK
"It is an energy-sapping field of great strength, Captain. It immobilizes a starship and its weapons capability. But apparently, it also immobilizes the attacking ship's abilities at the same time. ",SPOCK
"Representing the high teer, Leonard James Akaar. ",MCCOY
"Oh. well, it's good to get away from that development area, even for a while. Shahna, why do the Providers, why do they like to watch others being hurt, killed? ",KIRK
And they still go mad at this time. Perhaps the price they pay for having no emotions the rest of the time. ,MCCOY
"Captain, to affect the ship at this extreme range would require a highly sophisticated planetary defence system. ",SPOCK
Disconnect it. (Spock gets a shock from it) Destroy it. ,KIRK
"Can we know his range is, Captain? ",SPOCK
"Sensor reading, Captain. Some sort of equipment functioning on that vessel. ",SPOCK
"And the ladies? Is this your crew, Captain? ",KIRK
"Oh, no. I can think of nothing I'd rather do than stay with you.",KIRK
Familiar. Startling. Not rational. ,KIRK
"Not what is it, Captain. What are they? There are ten distinct life units within it, all powerfully alive and vital. ",SPOCK
"What? Oh, yes, they're in excellent health, all three of them. ",MCCOY
Ten yards the other way and we'd be boiled alive. ,MCCOY
"I don't know. He'll risk his neck locating Gaetano and if he finds him, he's just as liable to order him to stay behind. You tell me. ",MCCOY
"Spock, we don't have time for that. ",KIRK
"To be very frank, Jim, I don't know that I can do anything for Spock or your nephew. (hold up the jar) They're pieces of some form of living tissue. I removed one from Spock's spinal cord, the other from your sister-in-law's body. They're both the same. The boy's too weak to touch. Besides, removal of the tissue wouldn't stop the pain anyhow as far as I can tell. ",MCCOY
"Bele, I am captain of this ship, and it will follow whatever course I set for it, or I will order its destruction. ",KIRK
"Please do not take your eyes off of it. Lieutenant Rahda, arm the pod jettison system. ",SPOCK
I am another being. ,SPOCK
I can guarantee it. ,SPOCK
"Fortunately, the robot did not detect my presence and deactivate my phaser. ",SPOCK
"I have a crew of four hundred and thirty, Karla Five. Your ship is suitable for only a few people. ",KIRK
"Your uniform, Captain. ",SPOCK
"Oh, my.",KIRK
Face to face? Where? ,KIRK
Five thousand years in the future. ,SPOCK
"Our time, or theirs. ",KIRK
"You tell me. That's why you brought me down here, isn't it. ",KIRK
Parmen has promised me you'll be safe. ,MCCOY
"If you gentlemen are finished, would you mind laying in a course for Starbase Ten, Mister Spock? ",KIRK
Remarkable. The finest example of sustained antigravity elevation I've ever seen. ,SPOCK
Stop trying to kill each other. Then worry about being friendly. ,KIRK
Indeed. His act warrants death. ,SPOCK
"Is that the way you're going to do it, Mudd? Hit my people at their weakest point? ",KIRK
Please continue. ,SPOCK
"Yes, I'm all right. Just a little dizzy. ",KIRK
"I'm not interested in discussing our differences. You don't seem to realise the risk you're taking. We don't make war with computers and herd the casualties into suicide stations. We make the real thing, Councilman. I could destroy this planet. ",KIRK
"In that case, we must decline with thanks. ",KIRK
Reverse all engines. ,KIRK
"Computer, extrapolate most likely composition of such entity. ",SPOCK
You don't have to do that. ,KIRK
You're forgetting one thing. The planet's sensors can undoubtedly detect the difference between real and feigned injuries. ,MCCOY
"Good. Since the Captain was locked into our transporter beam when we were thrown clear of the interphase area, he should've been drawn here with us. Spock to transporter room. ",SPOCK
"Captain, you sent such a message this morning. ",SPOCK
"Lights, please. Gentlemen, this is for the record of the Fuhrer's Final Solution speech. ",KIRK
Take Mister Sulu to his quarters. He is relieved of duty. ,KIRK
"Lieutenant Uhura, contact Governor Wesley. Tell him to bring his ships back. ",KIRK
I shouldn't have chewed you out. I'm sorry. ,KIRK
What's that? ,KIRK
I can't say I think much of your welcome. ,KIRK
"That's your choice, Charlie. ",KIRK
"Earth Science needs the closest possible measurement of the breakup of this planet. To do this, we need the Enterprise in a critically tight orbit. Question. Could what happened down there to those people create any unusual danger to this vessel and crew?",KIRK
Reverse power. Hold our position. Deflector screens on. ,KIRK
"If we lose? We will remain here, the entire crew of the Enterprise. The most stubborn, determined competitors in the universe.",KIRK
"That's true, Spock, but obviously the ancestors of those who live on Stratos removed themselves from the environment of the mines.",MCCOY
"The possible existence of a parallel universe has been scientifically conceded, Captain. ",SPOCK
"James Kirk, Captain of the Enterprise. First Officer Spock. Our physician, Doctor McCoy. ",KIRK
"I don't want to beat you. This is no test of power. Rayna belongs to herself and she claims the human right of choice to be as she wills, to do as she wills, to think as she wills. ",KIRK
Spock! ,MCCOY
"Captain, your primitive impulses will not alter the circumstances. ",SPOCK
"Come on, Spock, now! ",MCCOY
"Lieutenant Clayton, open the hatch and let our two scientists here get on with their business. ",KIRK
"I think we'll spend the night here, Mister Spock.",KIRK
Break out the surface search equipment. I want co-ordinates on two people. ,KIRK
Are the ships computers programmed for entry into interspace? ,SPOCK
"No. You're the doctor. They don't want to force you. They need your goodwill. They're trying  PARMEN: Captain, go while you still can. ",KIRK
"Let him go, too, Charlie. ",KIRK
Can the zenite be affecting him? ,MCCOY
"One good slug of this, and you can hit a man with phaser stun, and he'd never feel it or even know it. ",MCCOY
"You want me to manufacture a lie, wrap it up as a Christmas present for you?",KIRK
What about Landru? Who is he? ,KIRK
Mister Sulu. Mister Sulu. Can't wait. Can't let them die. ,KIRK
"Captain, I have an answer for you. It seems your pain bands are manually controlled. The red button on a bracelet releases them. I know that does not make much sense. ",SPOCK
"They may believe we do have their spy. Scan the other vessel for damage, if you will, Mister Spock. ",KIRK
Misuse of the Priority One channels is a Federation offence. ,SPOCK
"Lieutenant, get back. ",KIRK
"No, no, no, no, it's not that. It's something entirely different. Jim, I suppose we could complete these examinations later. ",MCCOY
Why?,KIRK
Then do so. ,KIRK
That fast? ,MCCOY
Such as a failure in the transporter mechanism? ,SPOCK
I'll be right there. ,MCCOY
"Kirk out. Elaan, I have to go back to the Bridge. Please, you must go to Sickbay. ",KIRK
"As long as any of us. Blast medicine anyway. We've learned to tie into every human organ in the body except one. The brain. The brain is what life is all about. Now, that man can think any thought that we can, and love, hope, dream as much as we can, but he can't reach out, and no one can reach in.",MCCOY
Sit down. (McCoy enters) What happened? ,KIRK
Test it in combat. ,KIRK
I did. ,KIRK
"Nothing yet, Lieutenant? ",KIRK
"The termination of your inoculation programme and the subsequent outbreak of plague could have been coincidence, Doctor. ",SPOCK
"I have it on the sensors, Captain. By configuration, a starship stopped in space. She appears to be drifting. ",SPOCK
We will not negotiate. Do you concur? ,KIRK
"Did Outpost 4 give anything at all on the attacking vessel, Lieutenant? ",KIRK
"A scientific fact But if the tranquilliser does not function, which is clearly impossible, then a radical alteration of our thought patterns must be in order. ",SPOCK
An emotional Earth weakness of mine. There it is. ,KIRK
Drop the guns. Drop 'em. (McCoy and Spock take back their phasers) Move down there. ,KIRK
You said you were picking up impressions. Are the aliens telepathic? ,KIRK
The Kzinti have legends of weapons haunted by their owners. ,SPOCK
"Sensor readings, Mister Spock. ",KIRK
Form a ring. Fire! ,KIRK
"Well, yes, I suppose it could happen. ",MCCOY
Take the helm.,KIRK
Lock in and energise. ,KIRK
Nothing. They said they were being attacked by an unidentified ship. ,MCCOY
"Still not able to analyse, Captain. Sensors are feeding data to the computers now. Whatever this dark zone is, it lies directly in line with the course I calculate for the Intrepid and the Gamma Seven-A system. ",SPOCK
"Mister Scott, report. ",KIRK
Do you mean that's what the Kelvans really are? ,MCCOY
Any damage to the warp engines? ,KIRK
"Tests with the ship's equipment shows no signs of internal radiation damage, Doctor Coleman. ",MCCOY
"Goodbye, Areel. Better luck next time. ",KIRK
"That is correct, Mister Scott, by all the laws that we know.",SPOCK
"Give him a shot. Keep him asleep. Reger, I want some answers.",KIRK
"Please, Captain. ",SPOCK
You are very kind. ,MCCOY
"Your presence here is interfering with my efficiency, my ability to protect you. Mister Spock, you have the conn.",KIRK
"Kirk, affirmative.",KIRK
"Spock here, Captain. ",SPOCK
What about the shuttlecraft? ,KIRK
"Our bodies, Sargon, for what purpose? ",SPOCK
And we never fired upon her. ,SPOCK
"Are you sure you can do it, Mister Spock? ",KIRK
"How do you feel, Spock? ",KIRK
Perhaps they saw no practical use in it. ,SPOCK
Yes. ,KIRK
"Then you are both here, in the one body? ",SPOCK
Digging a grave. ,KIRK
That would seem to solve the problem of who to leave behind.,SPOCK
"Trouble is, they happen to be our only defence. ",MCCOY
"He's still alive, but the drug they use is too strong. If I give him another shot  KIRK: Bones, give him another shot! ",MCCOY
He'll be dead in half an hour if we don't get him some decent care.,MCCOY
The body is dying. You are destroying it. ,KIRK
"The search parties, Captain. ",SPOCK
"Well, Bones, all I can suggest is you open up a maternity ward.",KIRK
"First there was McCoy's Alice in Wonderland where there was supposedly no animal life. And Sulu's gun where there's no refined metal detected. Rodriguez' birds. And then my, well, the two people I saw. ",KIRK
"All scanning stations manned, all recorders functioning, Captain.",SPOCK
"Spock, have you and Jim gone out of your minds? Why, this is a jailbreak! ",MCCOY
"Find the Ambassador and the Captain. Yeoman Tamula, you stay here and prevent this young lady from immolating herself. Knock her down if necessary. This is a killing situation. Do what you must to protect yourself. Clear? ",SPOCK
Energise.,KIRK
"None, Captain. Insufficient data. ",SPOCK
"Yes, it's powerful, it's sophisticated, but it's not infallible.",KIRK
"No, sir. With the Federation, you have a choice. You have none with the Klingons. The Klingons are a military dictatorship. War is their way of life. Life under the Klingon rule would be very unpleasant. We offer you protection. ",KIRK
"Mister Spock, what about that tape? ",KIRK
"And I'm ready to get back to some of that monotonous, old, routine Sickbay work. ",MCCOY
We intend no harm. ,KIRK
Jealousy has often been a motive for murder. ,KIRK
"If it happened to any of us, I'd say indefinitely. But Vulcan physiology limits what I can do. Spock's body is more dependent on that tremendous brain for life support. ",MCCOY
"Physical reality is consistent with universal laws. Where the laws do not operate, there is no reality. All of this is unreal. ",SPOCK
"Ready, Sargon. ",KIRK
"Yes, that is true, Captain. ",SPOCK
Activate life-support belts. Energise. ,KIRK
Until we can find out what this is all about. ,KIRK
"Put the ship on Red Alert. How fast is it travelling, Mister Spock? ",KIRK
"Get to the centre of the ship. Don't touch the plates. Be sure you're insulated. Stand by. Are you ready, Scott? ",SPOCK
"Hysterical amnesia. When a man feels guilty about something, something too terrible to remember, he blots it out of his conscious memory. ",MCCOY
Hostages? For what purpose? ,KIRK
Captain.,SPOCK
"Commander, that puppet.",KIRK
Then you also know that the millions of inhabitants on its planets are doomed. ,SPOCK
I thought you were reporting to Sickbay. ,MCCOY
I don't know. The words were unfamiliar to me. ,KIRK
But where are they? I can't imagine a man like Matt Decker abandoning ship while his life support systems were still operative. ,KIRK
Federation. So was the shuttlecraft that you were flying in. ,KIRK
A bit. ,KIRK
We lost Matthews. Apparently an accident. Tell the Enterprise to have a full security party standing by. ,KIRK
"Thank you, Mister Chekov. You did what you had to do. As did we all. Even your friends. You may go. ",KIRK
"The matter is not open for discussion, Doctor. ",SPOCK
There wasn't enough time. ,KIRK
"Carry on, Lieutenant. The Romulans were expecting us, Mister Spock. That wreck of Winston's ship was the bait to get a Romulan spy onboard. And what better spy than a Vendorian who can shape at will.",KIRK
There certainly does. Your brilliant young computer just destroyed an ore freighter. In fact it went out of its way to destroy an ore freighter! ,MCCOY
"Quite human, Captain. It's simply that all the facts are not yet in. There are gaps. ",SPOCK
Possibly. ,KIRK
"I didn't want to, Jim. ",SPOCK
"Captain, library computer confirms that Ensign Walking Bear is correct. The Mayas had a legend of a winged serpent god who came from the skies, bringing knowledge. Such legends were not uncommon among Earth's peoples, Captain. ",SPOCK
"No additional Klingons detected, Captain. It is an alien life force, a single entity. I cannot ascertain its location. ",SPOCK
Come on. It's time to be going. ,MCCOY
"Slingshot effect, Mister Spock? Do we have enough power? ",KIRK
"Kirk here. What is it, Mister Spock? ",KIRK
"We are barely closing in on it, Captain. We could be pursuing it for days. ",SPOCK
Is she all right? ,KIRK
"What happened, Bones? ",KIRK
"He went off to create something called a mint julep. That's a drink, Jim. ",SPOCK
"It may be unappetizing, Doctor, but it is very logical. ",SPOCK
"It would appear, Captain, that he finds you a disappointment. ",SPOCK
Release him.,MCCOY
"Stand by to beam us up. But when that star explodes, don't wait.",KIRK
Then we'll both die. ,KIRK
Do it. ,KIRK
"Yes, and they've all been shrinking proportionately with us. ",KIRK
Captain? Gangsters. Chicago. Mobs. Published in 1992. Where'd you get this? ,SPOCK
Beam us aboard and go to maximum warp as soon as we're there.,KIRK
Emotions are alien to me. I'm a scientist. ,SPOCK
Impulse power then. Blast us out of this orbit.,KIRK
"Well, we'll steal from the rich and give back to the poor later.",KIRK
"Why, thank you. ",KIRK
The body is in Sickbay. ,MCCOY
Mister Spock. ,KIRK
"To deny the facts would be illogical, Doctor. ",SPOCK
Easy. Bones? ,KIRK
"Certainly. Mister Chekov, assist Mister Spock. Bridge to Sickbay.",KIRK
Battle status? ,KIRK
"Before you came here  LETHE: I was another person, malignant, hateful.",KIRK
"Yes, I know. But fortunately, I'm giving the orders. Take aim please, and fire when I give a signal. ",SPOCK
Did you teach her that? ,KIRK
"Ready, Mister Sulu? ",SPOCK
All right. I'll handle it down here. Kirk out. (taking the model from Sylvia and the phaser from Spock) You've won. ,KIRK
Kirk out. Like Flint. People without a past.,KIRK
Matt. What's going on? Give me Mister Spock. ,KIRK
"I guarantee it. Now, go on, please. ",MCCOY
Make sure we arrive before McCoy got there. It's vital we stop him before he does whatever it was that changed all history.,KIRK
"Jim, we've all seen the advances of mechanisation. After all, Daystrom did design the computers that run this ship. ",MCCOY
"You have to remember, for you and your mother to live. ",KIRK
They communicate telepathically. ,KIRK
"Ambassador, the Tellarite. Gav has been murdered. ",KIRK
I have a tongue. ,KIRK
"We have no guarantees, but we have a good ship and the best crew in Starfleet. So do your jobs. Carry on. Kirk out. ",KIRK
They'll still come. ,KIRK
I have an illness for which there is no cure. I have one year to live. ,MCCOY
"Especially if they had the power to alter their form at will and command great energy. In fact, they couldn't have been taken for anything else. ",KIRK
Explain. ,KIRK
"Yes, Captain. He'll be happy to hear that. ",MCCOY
"Planet development is normal, Captain.",SPOCK
"If Mister Scott is still with us, auxiliaries should be on momentarily. (Uhura is just stirring on the floor) Are you all right, Lieutenant? ",SPOCK
"Wait a minute. Does Charlie? Now, wait, Spock, has he done away with anybody since he took over? ",KIRK
"Nothing. Illogical. An effect of such proportions, unexplainable by any established physical laws that I'm aware of. I have been able to ascertain one fact. Though the effect, whatever it was, was unquestioningly widespread, it was strongest here on the planet beneath us. ",SPOCK
"Granted, it can work a thousand, a million times faster than the human brain, but it can't make a value judgment. It hasn't intuition.",KIRK
I don't understand. ,KIRK
I tell you it can't continue. ,KIRK
Yes. ,KIRK
There's a false entry in the log right now which doesn't jibe with the established facts. How do you explain that.,KIRK
"I agree there was a time when war was necessary, and you were our greatest warrior. I studied your victory at Axanar when I was a cadet.",KIRK
Affirmative. ,SPOCK
The technicians reported a loss of power. That must be it. ,KIRK
"Yes. It's been impregnated with a virus. The virus turns into an inert material in the bloodstream. The more the organism eats, the more inert matter is built up. So after two or three days, they reached a point where they couldn't take in enough nourishment to survive. ",MCCOY
Did you? You said we can't get back. The truth is you can't get back. ,MCCOY
"Well, my diagnosis is exhaustion brought on from overwork and guilt. You're blaming yourself for crippling this ship, just as we blamed you. Well, we were wrong. So were you. You made a command decision. Jim would have done the same. My prescription is rest, now.",MCCOY
What's going on? ,KIRK
Ready? ,KIRK
"Sulu, Rodriguez, Barrows. Front and centre.",KIRK
"I believe so, Captain. And I know what you're thinking. It was I who saved myself that other time. ",SPOCK
"All right, Lieutenant, you can come down from Mount Olympus now.",KIRK
Captain here. ,KIRK
"Give him one cc of cordazine, nurse. ",MCCOY
"Is it possible they built their machines too well, gave them pride and a desire to survive? Machines that wanted logic and order and found that frustrated by the illogical emotional creatures that built them? ",KIRK
"Report, Spock. ",KIRK
"Science will triumph. Come on, Scotty. Bones, give them something to keep them out for a while. (into communicator) Spock. Spock. Come on, Spock. Spock, you were on this frequency, Spock. ",KIRK
"Really, M'Ress, you're going to have to be a little more clever than that. ",KIRK
"Spock, I've isolated the biochemical substance of the Elasian tears. It's a kind of an infection, and I think I've found an antidote.",MCCOY
I intend to challenge your actions in my records. I'll state that I warned you about Bailey's condition. Now that's no bluff.,MCCOY
"It would be most interesting to impress your memory engrams on a computer, Doctor. The resulting torrential flood of illogic would be most entertaining. ",SPOCK
At a speed that should be impossible to achieve. Something on the order of warp thirty six. ,SPOCK
They're quite large. Seven feet tall is not unusual. They're extremely fast and strong. Lieutenant? ,MCCOY
"I'm familiar with the regulations, Commissioner. I know all about your authority. Launch shuttlecraft Columbus. ",KIRK
"This psychokinetic power of yours, how long have you had it? ",KIRK
"I'm pleased to see you, Captain. You seem uninjured. I am at something of a loss to understand it, however. ",SPOCK
"Logical, Captain. ",SPOCK
There's something wrong about this room. ,KIRK
"I would suggest, Mister Sulu, if you cannot find out where the power source is, you should find out where it is not. A simple process of elimination. ",SPOCK
"But not impossible, Mister Spock. The Denevan that flew into the sun cried out that he was free, that he'd won. That's the angle to work on, gentlemen. I want an analysis of all this from Medical and Life Science departments within the hour. ",KIRK
"Yes, that's right. By a knight in shining armour of all things, but what  SPOCK: Since the planet's power source is underground, it seems only logical that Doctor McCoy was somehow transported there and repaired. ",MCCOY
"Forward readings, Mister Spock. ",KIRK
"This is Captain Kirk. We have your captain as prisoner. Your choice, sir. ",KIRK
"Mister Spock, relieve Commodore Decker immediately. That's a direct order. ",KIRK
"I'm not sanguine about hunches, Captain, but I have no practical alternative. ",SPOCK
Like this? ,KIRK
"Scotty, your estimate. ",KIRK
"I acknowledge your expertise in the field of weapons, Mister Sulu, but I do not see how you can determine probable ownership. ",SPOCK
"How near is Mantilles, Mister Arex? ",KIRK
"The object is beginning to emit M-rays of a highly unstable nature, Captain. ",SPOCK
"Chief, have you been_ (Charlie laughs and leaves.)",KIRK
"We're losing sensor contact, Captain. ",SPOCK
Complete? ,KIRK
She refused. ,MCCOY
"Speculation, Spock. ",KIRK
I conclude such a light is an energy transfer point linking this device to the power source. ,SPOCK
But this is painless. ,SPOCK
"Thank you, Mister Chekov. Manoeuvre completed, Captain. ",SPOCK
"Kirk to Enterprise. Enterprise? Enterprise, come in. Kirk to Enterprise. Enterprise, come in. ",KIRK
"Take a good look around, Captain. You made it here ahead of all of them. ",KIRK
Men weren't intended to live this far underground. It's just not natural. ,MCCOY
